Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:7C,-68,D8:84:66:50:4A:B9,-74,D8:84:66:50:4A:BA,-75,D8:84:66:50:4A:B8,-75
Zone 1,78:93:C3:2B:D1:D7,-62,D8:84:66:03:2B:7C,-67,D8:84:66:03:2B:78,-68,D8:84:66:50:4A:B8,-70,D8:84:66:50:4A:BA,-72
Zone 1,78:93:C3:2B:D1:D7,-65,D8:84:66:50:4B:D8,-67,D8:84:66:03:2B:7C,-67,20:B3:99:F4:4D:EA,-68,20:B3:99:F4:4D:EB,-70
Zone 1,20:B3:99:F4:4D:EB,-68,78:93:C3:2B:D1:D7,-69,20:B3:99:F4:4D:EA,-70,D8:84:66:03:2B:7C,-71,D8:84:66:03:2B:78,-71
Zone 1,20:B3:99:F4:4D:EB,-69,78:93:C3:2B:D1:D7,-69,20:B3:99:F4:4D:EA,-70,D8:84:66:03:2B:7C,-72,D8:84:66:03:2B:78,-75
Zone 1,78:93:C3:2B:D1:D7,-67,D8:84:66:03:2B:7C,-71,20:B3:99:F4:4D:EB,-71,20:B3:99:F4:4D:EA,-71,D8:84:66:0B:10:3C,-75
Zone 1,78:93:C3:2B:D1:D7,-62,20:B3:99:F4:4D:EB,-71,D8:84:66:03:2B:78,-71,20:B3:99:F4:4D:EA,-72,D8:84:66:03:2B:7C,-72
Zone 1,78:93:C3:2B:D1:D7,-61,D8:84:66:03:2B:7C,-69,D8:84:66:03:2B:78,-69,20:B3:99:F4:4D:EA,-69,AE:38:6E:56:BC:99,-71
Zone 1,78:93:C3:2B:D1:D7,-61,20:B3:99:F4:4D:EB,-68,20:B3:99:F4:4D:EA,-68,D8:84:66:03:2B:7C,-69,D8:84:66:03:2B:78,-69
Zone 1,78:93:C3:2B:D1:D7,-64,20:B3:99:F4:4D:EB,-68,20:B3:99:F4:4D:EA,-69,D8:84:66:03:2B:78,-71,D8:84:66:03:2B:7C,-71
Zone 1,78:93:C3:2B:D1:D7,-64,D8:84:66:03:2B:78,-70,D8:84:66:03:2B:7C,-71,D8:84:66:0B:10:3C,-72,D8:84:66:0B:10:38,-73
Zone 1,78:93:C3:2B:D1:D7,-65,D8:84:66:03:2B:7C,-70,20:B3:99:F4:4D:EB,-71,20:B3:99:F4:4D:EA,-71,D8:84:66:03:2B:78,-71
Zone 1,78:93:C3:2B:D1:D7,-65,D8:84:66:03:2B:7C,-71,20:B3:99:F4:4D:EA,-71,20:B3:99:F4:4D:EB,-71,D8:84:66:03:2B:78,-71
Zone 1,78:93:C3:2B:D1:D7,-65,20:B3:99:F4:4D:EA,-71,D8:84:66:03:2B:78,-72,D8:84:66:03:2B:7C,-72,20:B3:99:F4:4D:EB,-72
Zone 1,78:93:C3:2B:D1:D7,-66,D8:84:66:03:2B:7C,-73,D8:84:66:03:2B:78,-73,FA:B7:17:77:9F:C0,-74,D8:84:66:0B:10:38,-74
Zone 1,78:93:C3:2B:D1:D7,-65,20:B3:99:F4:4D:EA,-71,20:B3:99:F4:4D:EB,-71,D8:84:66:03:2B:7C,-72,D8:84:66:0B:10:3C,-74
Zone 1,78:93:C3:2B:D1:D7,-65,20:B3:99:F4:4D:EA,-70,20:B3:99:F4:4D:EB,-71,D8:84:66:03:2B:78,-73,D8:84:66:03:2B:7C,-73
Zone 1,78:93:C3:2B:D1:D7,-65,20:B3:99:F4:4D:EB,-70,20:B3:99:F4:4D:EA,-71,D8:84:66:0B:10:3C,-74,D8:84:66:0B:10:38,-74
Zone 1,78:93:C3:2B:D1:D7,-66,20:B3:99:F4:4D:EB,-70,D8:84:66:03:2B:7C,-70,20:B3:99:F4:4D:EA,-70,D8:84:66:03:2B:78,-71
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:7C,-66,D8:84:66:03:2B:78,-66,20:B3:99:F4:4D:EA,-69,20:B3:99:F4:4D:EB,-69
Zone 1,78:93:C3:2B:D1:D7,-64,D8:84:66:03:2B:78,-66,D8:84:66:03:2B:7C,-66,20:B3:99:F4:4D:EB,-69,20:B3:99:F4:4D:EA,-69
Zone 1,78:93:C3:2B:D1:D7,-62,D8:84:66:03:2B:78,-66,D8:84:66:03:2B:7C,-66,20:B3:99:F4:4D:EA,-70,20:B3:99:F4:4D:EB,-70
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:78,-66,D8:84:66:03:2B:7C,-67,20:B3:99:F4:4D:EA,-69,20:B3:99:F4:4D:EB,-69
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:78,-66,D8:84:66:03:2B:7C,-67,20:B3:99:F4:4D:EA,-69,20:B3:99:F4:4D:EB,-70
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:78,-67,D8:84:66:03:2B:7C,-67,20:B3:99:F4:4D:EB,-69,20:B3:99:F4:4D:EA,-69
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:78,-68,D8:84:66:03:2B:7C,-68,20:B3:99:F4:4D:EB,-69,20:B3:99:F4:4D:EA,-70
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:7C,-68,D8:84:66:03:2B:78,-68,20:B3:99:F4:4D:EB,-69,20:B3:99:F4:4D:EA,-70
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:78,-66,D8:84:66:03:2B:7C,-67,20:B3:99:F4:4D:EA,-70,20:B3:99:F4:4D:EB,-70
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:7C,-66,D8:84:66:03:2B:78,-67,20:B3:99:F4:4D:EA,-71,20:B3:99:F4:4D:EB,-71
Zone 1,78:93:C3:2B:D1:D7,-64,D8:84:66:03:2B:7C,-67,D8:84:66:03:2B:78,-67,20:B3:99:F4:4D:EB,-69,20:B3:99:F4:4D:EA,-69
Zone 1,78:93:C3:2B:D1:D7,-63,D8:84:66:03:2B:7C,-68,D8:84:66:03:2B:78,-68,20:B3:99:F4:4D:EB,-68,20:B3:99:F4:4D:EA,-69
Zone 1,78:93:C3:2B:D1:D7,-64,20:B3:99:F4:4D:EA,-67,20:B3:99:F4:4D:EB,-67,D8:84:66:03:2B:78,-68,D8:84:66:03:2B:7C,-68
Zone 1,78:93:C3:2B:D1:D7,-62,D8:84:66:03:2B:78,-69,20:B3:99:F4:4D:EB,-69,D8:84:66:03:2B:7C,-70,20:B3:99:F4:4D:EA,-70
Zone 1,78:93:C3:2B:D1:D7,-62,20:B3:99:F4:4D:EA,-70,20:B3:99:F4:4D:EB,-70,D8:84:66:03:2B:7C,-72,D8:84:66:0B:10:38,-74
Zone 1,78:93:C3:2B:D1:D7,-63,20:B3:99:F4:4D:EA,-69,D8:84:66:03:2B:78,-70,20:B3:99:F4:4D:EB,-70,D8:84:66:03:2B:7C,-71
Zone 1,78:93:C3:2B:D1:D7,-62,20:B3:99:F4:4D:EB,-68,20:B3:99:F4:4D:EA,-69,D8:84:66:03:2B:7C,-70,D8:84:66:03:2B:78,-71
Zone 1,78:93:C3:2B:D1:D7,-65,D8:84:66:03:2B:7C,-68,D8:84:66:03:2B:78,-68,20:B3:99:F4:4D:EB,-68,20:B3:99:F4:4D:EA,-68
Zone 1,78:93:C3:2B:D1:D7,-65,20:B3:99:F4:4D:EA,-67,20:B3:99:F4:4D:EB,-67,D8:84:66:03:2B:78,-68,D8:84:66:03:2B:7C,-68
Zone 1,78:93:C3:2B:D1:D7,-63,20:B3:99:F4:4D:EA,-67,D8:84:66:03:2B:78,-67,D8:84:66:03:2B:7C,-67,20:B3:99:F4:4D:EB,-68
