Zone 2,D8:84:66:3D:7B:E9,-62,D8:84:66:3D:7B:EC,-62,20:B3:99:F4:44:98,-63,20:B3:99:F4:44:9C,-63,D8:84:66:02:B6:5D,-69
Zone 2,20:B3:99:F4:44:98,-61,20:B3:99:F4:44:9C,-61,D8:84:66:3D:7B:EC,-67,D8:84:66:3D:7B:E9,-68,D8:84:66:02:B6:5D,-70
Zone 2,20:B3:99:F4:44:98,-59,20:B3:99:F4:44:9C,-59,D8:84:66:3D:7B:E9,-68,D8:84:66:3D:7B:EC,-69,D8:84:66:02:B6:5D,-70
Zone 2,20:B3:99:F4:44:98,-59,20:B3:99:F4:44:9C,-59,D8:84:66:3D:7B:EC,-67,D8:84:66:3D:7B:E9,-67,D8:84:66:02:B6:5C,-69
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:EC,-67,D8:84:66:3D:7B:E9,-67,D8:84:66:02:B6:5C,-68
Zone 2,20:B3:99:F4:44:98,-59,20:B3:99:F4:44:9C,-59,D8:84:66:3D:7B:EC,-67,D8:84:66:3D:7B:E9,-67,D8:84:66:02:B6:58,-68
Zone 2,20:B3:99:F4:44:9C,-59,20:B3:99:F4:44:98,-59,D8:84:66:3D:7B:EC,-65,D8:84:66:3D:7B:E9,-66,D8:84:66:02:B6:58,-67
Zone 2,20:B3:99:F4:44:9C,-60,20:B3:99:F4:44:98,-61,D8:84:66:3D:7B:E9,-64,D8:84:66:3D:7B:EC,-64,D8:84:66:02:B6:58,-69
Zone 2,20:B3:99:F4:44:98,-58,20:B3:99:F4:44:9C,-58,D8:84:66:3D:7B:E9,-64,D8:84:66:3D:7B:EC,-64,D8:84:66:02:B6:5D,-68
Zone 2,20:B3:99:F4:44:98,-57,20:B3:99:F4:44:9C,-58,D8:84:66:3D:7B:E9,-64,D8:84:66:3D:7B:EC,-64,D8:84:66:02:B6:58,-68
Zone 2,20:B3:99:F4:44:98,-58,20:B3:99:F4:44:9C,-58,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-64,D8:84:66:02:B6:5C,-68
Zone 2,20:B3:99:F4:44:9C,-59,20:B3:99:F4:44:98,-60,D8:84:66:3D:7B:E9,-65,D8:84:66:3D:7B:EC,-65,D8:84:66:02:B6:58,-67
Zone 2,20:B3:99:F4:44:98,-59,20:B3:99:F4:44:9C,-59,D8:84:66:3D:7B:E9,-64,D8:84:66:3D:7B:EC,-64,D8:84:66:02:B6:5C,-67
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:E9,-64,D8:84:66:3D:7B:EC,-64,D8:84:66:02:B6:58,-67
Zone 2,20:B3:99:F4:44:9C,-60,20:B3:99:F4:44:98,-60,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-63,D8:84:66:02:B6:5D,-68
Zone 2,20:B3:99:F4:44:9C,-59,20:B3:99:F4:44:98,-59,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-63,D8:84:66:02:B6:5D,-68
Zone 2,20:B3:99:F4:44:9C,-59,20:B3:99:F4:44:98,-59,D8:84:66:3D:7B:EC,-62,D8:84:66:3D:7B:E9,-63,D8:84:66:02:B6:5D,-68
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:E9,-62,D8:84:66:3D:7B:EC,-62,D8:84:66:02:B6:5D,-68
Zone 2,20:B3:99:F4:44:9C,-60,20:B3:99:F4:44:98,-60,D8:84:66:3D:7B:E9,-64,D8:84:66:3D:7B:EC,-64,D8:84:66:02:B6:5C,-68
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-63,D8:84:66:02:B6:58,-68
Zone 2,20:B3:99:F4:44:9C,-60,20:B3:99:F4:44:98,-61,D8:84:66:3D:7B:E9,-62,D8:84:66:3D:7B:EC,-62,D8:84:66:02:B6:5D,-68
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-63,D8:84:66:02:B7:49,-69
Zone 2,20:B3:99:F4:44:9C,-60,20:B3:99:F4:44:98,-61,D8:84:66:3D:7B:EC,-63,D8:84:66:3D:7B:E9,-63,D8:84:66:02:B6:5C,-69
Zone 2,20:B3:99:F4:44:9C,-60,20:B3:99:F4:44:98,-60,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-63,D8:84:66:02:B6:5D,-69
Zone 2,20:B3:99:F4:44:9C,-60,20:B3:99:F4:44:98,-60,D8:84:66:3D:7B:E9,-64,D8:84:66:3D:7B:EC,-64,D8:84:66:02:B6:5D,-69
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:EC,-63,D8:84:66:3D:7B:E9,-64,D8:84:66:02:B6:58,-69
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:E9,-62,D8:84:66:3D:7B:EC,-62,D8:84:66:02:B6:5C,-68
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-63,D8:84:66:02:CF:8B,-68
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-61,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-63,D8:84:66:02:B6:5C,-69
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:E9,-63,D8:84:66:3D:7B:EC,-63,D8:84:66:02:B6:5C,-69
Zone 2,20:B3:99:F4:44:98,-60,20:B3:99:F4:44:9C,-60,D8:84:66:3D:7B:EC,-62,D8:84:66:3D:7B:E9,-62,D8:84:66:02:B6:5D,-69
Zone 2,20:B3:99:F4:44:9C,-60,20:B3:99:F4:44:98,-60,D8:84:66:3D:7B:EC,-63,D8:84:66:3D:7B:E9,-63,D8:84:66:02:B6:5D,-69
